id,name.local,name.en,name.slug,code.id,geo.lat,geo.lon
AZ605005,Əfəndilər,Afandilar,afandilar,AZ605005,39.435,47.049
AZ605014,Ağtəpə,Aghtepe,aghtepe,AZ605014,39.358,47.027
AZ605039,Alıkeyxalı,Alikeykhali,alikeykhali,AZ605039,39.238,47.038
AZ605034,Əmirvarlı,Amirvarli,amirvarli,AZ605034,39.282,47.082
AZ605089,Əsgərxanlı,Asgarkhanli,asgarkhanli,AZ605089,39.418,46.898
AZ605023,Aşağı Maralyan,Ashaghi  Maralyan,ashaghi-maralyan,AZ605023,39.347,47.217
AZ605079,Aşağı Sirik,Ashaghi  Sirik,ashaghi-sirik,AZ605079,39.295,46.884
AZ605087,Aşıq Məlikli,Ashig  Malikli,ashig-malikli,AZ605087,39.446,46.922
AZ605003,Balyand,Balyand,balyand,AZ605003,39.468,47.108
AZ605024,Böyük Mərcanlı,Boyuk  Marjanli,boyuk-marjanli,AZ605024,39.368,47.253
AZ605025,Çaxırlı,Chakhirli,chakhirli,AZ605025,39.369,47.268
AZ605083,Çələbilər,Chalabilar,chalabilar,AZ605083,39.388,46.828
AZ605092,Çapand,Chapand,chapand,AZ605092,39.391,47.118
AZ605007,Çərəkən,Charakan,charakan,AZ605007,39.41,47.065
AZ605043,Çullu,Chullu,chullu,AZ605043,39.407,46.713
AZ605042,Dağ Maşanlı,Dagh Mashanli,dagh-mashanli,AZ605042,39.374,46.739
AZ605074,Dağ Tumas,Dagh Tumas,dagh-tumas,AZ605074,39.388,46.768
AZ605055,Dərzili,Darzili,darzili,AZ605055,39.168,46.894
AZ605013,Daş Veysəlli,Dash Veysalli,dash-veysalli,AZ605013,39.37,47.031
AZ605012,Daşkəsən,Dashkasan,dashkasan,AZ605012,39.43,47.104
AZ605020,Dəjəl,Dazhal,dazhal,AZ605020,39.347,47.151
AZ605063,Doşulu,Doshulu,doshulu,AZ605063,39.476,47.081
AZ605017,Fuğanlı,Fughanli,fughanli,AZ605017,39.358,47.087
AZ605048,Qalacıq,Galajig,galajig,AZ605048,39.401,46.901
AZ605082,Qaraağac,Garaaghaj,garaaghaj,AZ605082,39.388,46.808
AZ605002,Qaracallı,Garajalli,garajalli,AZ605002,39.47,47.091
AZ605091,Qərər,Garar,garar,AZ605091,39.425,46.977
AZ605044,Qazanzəmi,Gazanzami,gazanzami,AZ605044,39.427,46.751
AZ605004,Qışlaq,Gishlag,gishlag,AZ605004,39.472,47.044
AZ605096,Qoşabulaq,Goshabulag,goshabulag,AZ605096,39.272,46.954
AZ605058,Qovşudlu,Govshudlu,govshudlu,AZ605058,39.262,46.874
AZ605062,Göyərçin Veysəlli,Goyerchin Veysalli,goyerchin-veysalli,AZ605062,39.251,46.991
AZ605057,Qumlaq,Gumlag,gumlag,AZ605057,39.17,46.927
AZ605097,Qumlaq,Gumlag,gumlag,AZ605097,39.184,46.928
AZ605070,Qurbantəpə,Gurbantepe,gurbantepe,AZ605070,39.389,47.035
AZ605065,Quşçular,Gushchular,gushchular,AZ605065,39.447,46.911
AZ605010,Quycaq,Guyjag,guyjag,AZ605010,39.405,47.156
AZ605078,Hacı İsaqlı,Haji Isagli,haji-isagli,AZ605078,39.277,46.95
AZ605072,Hacılı,Hajili,hajili,AZ605072,39.348,47.05
AZ605018,Həsənqaydı,Hasangaydi,hasangaydi,AZ605018,39.373,47.082
AZ605041,Hasanlı,Hasanli,hasanli,AZ605041,39.207,47.046
AZ605009,Horovlu,Horovlu,horovlu,AZ605009,39.402,47.094
AZ605049,Hovuslu,Hovuslu,hovuslu,AZ605049,39.377,46.917
AZ605037,Hüseynalılar,Huseynalilar,huseynalilar,AZ605037,39.324,47.05
AZ605069,İmambağı,Imambaghi,imambaghi,AZ605069,39.355,47.09
AZ605047,İsaqlı,Isagli,isagli,AZ605047,39.42,46.872
AZ605006,CƏBRAYIL,JABRAYIL,jabrayil,AZ605006,39.4,47.025
AZ605021,Cəfərabad,Jafarabad,jafarabad,AZ605021,39.341,47.178
AZ605027,Cocuq Mərcanlı,Jojug Marjanli,jojug-marjanli,AZ605027,39.393,47.3
AZ605022,Karxulu,Karkhulu,karkhulu,AZ605022,39.342,47.194
AZ605036,Kavdar,Kavdar,kavdar,AZ605036,39.308,47.06
AZ605077,Keçəl Məmmədli,Kechal Mammadli,kechal-mammadli,AZ605077,39.268,47.004
AZ605051,Xələfli,Khalafli,khalafli,AZ605051,39.425,46.957
AZ605076,Xələfli,Khalafli,khalafli,AZ605076,39.17,47.006
AZ605064,Xanağabulaq,Khanaghabulag,khanaghabulag,AZ605064,39.421,46.779
AZ605067,Xubyarlı,Khubyarli,khubyarli,AZ605067,39.409,47.008
AZ605086,Xudafərin,Khudafarin,khudafarin,AZ605086,39.151,46.942
AZ605066,Xudaverdili,Khudaverdili,khudaverdili,AZ605066,39.369,47.04
AZ605075,Xudayarlı,Khudayarli,khudayarli,AZ605075,39.16,46.945
AZ605052,Kürdlər,Kurdlar,kurdlar,AZ605052,39.43,46.946
AZ605030,Mahmudlu,Mahmudlu,mahmudlu,AZ605030,39.324,47.166
AZ605094,Mahmudlu,Mahmudlu,mahmudlu,AZ605094,39.32,47.149
AZ605040,Maşanlı,Mashanli,mashanli,AZ605040,39.217,47.039
AZ605056,Məstalıbəyli,Mastalibeyli,mastalibeyli,AZ605056,39.17,46.918
AZ605085,Məzrə,Mazra,mazra,AZ605085,39.291,47.083
AZ605026,Mehdili,Mehdili,mehdili,AZ605026,39.383,47.278
AZ605081,Minbaşılı,Minbashili,minbashili,AZ605081,39.343,47.031
AZ605035,Mirək,Mirak,mirak,AZ605035,39.31,47.07
AZ605088,Molla Həsənli,Molla Hasanli,molla-hasanli,AZ605088,39.425,46.886
AZ605093,Niftalılar,Niftalilar,niftalilar,AZ605093,39.397,46.901
AZ605061,Niyazqulular,Niyazgulular,niyazgulular,AZ605061,39.257,46.956
AZ605090,Nüsüs,Nusus,nusus,AZ605090,39.418,46.923
AZ605028,Nüzgar,Nuzgar,nuzgar,AZ605028,39.413,47.222
AZ605008,Papı,Papi,papi,AZ605008,39.404,47.076
AZ605015,Sədi,Sadi,sadi,AZ605015,39.352,47.017
AZ605019,Safarşa,Safarsha,safarsha,AZ605019,39.37,47.133
AZ605033,Sarıcallı,Sarijalli,sarijalli,AZ605033,39.302,47.103
AZ605068,Şahvələdli,Shahvaladli,shahvaladli,AZ605068,39.419,47.022
AZ605060,Şahvəlli,Shahvalli,shahvalli,AZ605060,39.283,46.967
AZ605011,Şəybəy,Shaybey,shaybey,AZ605011,39.392,47.189
AZ605032,Şıxalıağalı,Shikhaliaghali,shikhaliaghali,AZ605032,39.309,47.121
AZ605046,Şıxlar,Shikhlar,shikhlar,AZ605046,39.44,46.863
AZ605031,Şükürbəyli,Shukurbeyli,shukurbeyli,AZ605031,39.322,47.146
AZ605080,Sirik,Sirik,sirik,AZ605080,39.475,46.872
AZ605073,Sofulu,Sofulu,sofulu,AZ605073,39.372,46.814
AZ605038,Soltanlı,Soltanli,soltanli,AZ605038,39.259,47.047
AZ605045,Söyüdlü,Soyudlu,soyudlu,AZ605045,39.424,46.772
AZ605001,Süleymanlı,Suleymanli,suleymanli,AZ605001,39.465,47.066
AZ605054,Tatar,Tatar,tatar,AZ605054,39.448,46.93
AZ605059,Tinli,Tinli,tinli,AZ605059,39.26,46.899
AZ605016,Tulus,Tulus,tulus,AZ605016,39.357,47.066
AZ605095,Yanarxac,Yanarkhaj,yanarkhaj,AZ605095,39.266,47.006
AZ605050,Yarəhmədli,Yarahmadli,yarahmadli,AZ605050,39.378,46.973
AZ605053,Yuxarı Məzrə,Yukhari  Mazra,yukhari-mazra,AZ605053,39.459,46.954
AZ605071,Yuxarı Nüsüs,Yukhari  Nusus,yukhari-nusus,AZ605071,39.479,46.899
AZ605029,Yuxarı Maralyan,Yukhari Maralyan,yukhari-maralyan,AZ605029,39.334,47.196
AZ605084,Yuxarı Mərcanlı,Yukhari Marjanli,yukhari-marjanli,AZ605084,39.36,47.23
